Slug,Lang,Group,TitleScore,MetaScore,H1Score,UniquenessScore,GEOScore,DepthScore,InternalLinkingScore,TrustToneScore,CTAScore,IntlScore,TotalScore,Status,IndexRecommendation,PrimaryIssue,Evidence,RecommendedAction
meet-venezuelan-women,en,core,9,9,9,9,8,9,9,9,9,9,89,PASS,KEEP INDEX,No major issue,3 deep sections 1200+ words; 4 FAQs; ES counterpart ✓; strong relatedLinks; keyword in title/H1/desc/intro ✓,Maintain page; add visible last-reviewed date
venezuelan-dating-site,en,core,9,9,9,8,8,9,8,9,9,9,87,PASS,KEEP INDEX,No major issue,Core head term; unique trust/verification angle; ES counterpart ✓; strong FAQ,Maintain page; expand trust/verification section with data point
venezuelan-women-for-marriage,en,core,9,9,9,8,8,9,9,9,9,8,87,PASS,KEEP INDEX,No major issue,High purchase-intent keyword; marriage-specific content unique from sibling pages; ES counterpart ✓,Maintain; add 1 FAQ on visa/immigration for international marriage
venezuelan-women-family-values,en,core,8,8,8,8,8,8,8,9,9,8,82,PASS,KEEP INDEX,No major issue,High emotional intent; strong ES counterpart; unique family-values angle; good relatedLinks,Maintain; consider adding 1 cultural anecdote section for depth
why-venezuelan-women,en,core,8,8,8,8,8,8,9,8,9,7,81,PASS,KEEP INDEX,No major issue,Informational intent; converts browsers to consideration stage; ES counterpart ✓,Add 1 FAQ on dating expectations; link to dating-culture page
dating-in-venezuela-safely,en,core,8,8,8,8,9,7,8,9,8,7,80,PASS,KEEP INDEX,No major issue,High E-E-A-T value; trust/safety angle; strong FAQ; links to Safety page ✓,Expand body sections to 1500+ words with moderation process detail
venezuelan-dating-culture,en,intent,8,8,8,8,9,8,8,8,8,8,83,PASS,KEEP INDEX,No ES counterpart (HIGH),High GEO value — informational intent; topical authority signal; 3 sections,Add /es/cultura-de-citas-venezolanas counterpart (HIGH priority)
serious-relationship-venezuelan-woman,en,intent,9,8,9,8,8,8,9,9,9,8,85,PASS,KEEP INDEX,No major issue,Strong purchase intent; differentiated from generic city pages; ES counterpart ✓,Maintain; add 1 success-story anecdote for E-E-A-T
verified-venezuelan-dating-profiles,en,intent,9,8,9,8,8,8,8,9,9,8,84,PASS,KEEP INDEX,No major issue,Unique verification-focused angle; high conversion intent; ES counterpart ✓,Add FAQ: How does verification work? to strengthen GEO signal
venezuelan-women-in-united-states,en,country,8,8,8,7,7,8,8,8,8,9,79,PARTIAL,KEEP INDEX,Weak GEO specificity,Largest diaspora market; country-level breadth justified; ES counterpart ✓; generic sections without state-level data,Add 3 US metro area callouts (Miami; Houston; NY) with authentic statistics
venezuelan-women-in-canada,en,country,8,8,8,7,7,8,8,8,8,8,78,PARTIAL,KEEP INDEX,Weak GEO specificity,Significant Venezuelan diaspora in Toronto/Calgary/Vancouver; ES counterpart ✓; city-level data absent,Add Toronto/Calgary diaspora statistics; link to any CA city landing pages
venezuelan-women-in-spain,en,country,8,8,8,7,7,8,8,8,8,8,78,PARTIAL,KEEP INDEX,ES counterpart needed (HIGH priority),Spain is primary European market for Venezuelan immigrants; EN page exists; no /es/mujeres-venezolanas-en-espana,Add ES counterpart immediately — Spain audience primarily Spanish-speaking
venezuelan-women-in-united-kingdom,en,country,8,8,8,7,7,7,8,8,8,8,77,PARTIAL,KEEP INDEX,Weak GEO specificity,UK has notable Venezuelan diaspora (London/Manchester); ES counterpart ✓; lacks UK-specific community data,Add UK community stats; reference London Venezuelan community
venezuelan-women-in-australia,en,country,7,8,7,7,6,7,8,8,8,8,74,PARTIAL,KEEP INDEX,Small diaspora; weak specificity,Small Venezuelan community in Australia; content is generic; sections do not reference Australian cities,Add Sydney/Melbourne Venezuelan community references; consider merging with NZ if created
venezuelan-women-in-miami,en,city,8,8,8,7,7,8,8,8,8,8,78,PARTIAL,KEEP INDEX,Largest US hub — justify with data,Largest Venezuelan diaspora in US; ES counterpart ✓; sections generic without Brickell/Doral community specifics,Add Little Havana/Doral Venezuelan community district reference; restaurants; cultural orgs
venezuelan-women-in-new-york,en,city,8,8,8,7,7,7,8,8,8,7,76,PARTIAL,KEEP INDEX,Meaningful diaspora,Meaningful Venezuelan community in NYC; ES counterpart ✓; copy structurally similar to Houston,Add Jackson Heights/Queens Venezuelan community reference; differentiate from Houston page
venezuelan-women-in-houston,en,city,8,8,8,7,7,7,8,8,8,7,76,PARTIAL,KEEP INDEX,Meaningful diaspora,Significant Venezuelan diaspora in Houston; ES counterpart ✓; generic section bodies,Add Westheimer/Energy Corridor community reference; oil industry connection angle
venezuelan-women-in-los-angeles,en,city,8,7,8,7,7,7,8,8,7,8,75,PARTIAL,KEEP INDEX,Moderate diaspora,Moderate Venezuelan community in LA; ES counterpart ✓; sections are generic,Add Glendale/Burbank Venezuelan community reference; entertainment industry angle
venezuelan-women-in-washington-dc,en,city,7,7,7,6,7,7,7,8,7,8,71,PARTIAL,REWRITE THEN INDEX,Unique diplomatic angle not exploited,DC has significant political refugee Venezuelan community; this differentiator not used in content; no ES counterpart,REWRITE: Add political refugee/diplomat angle; Venezuelan embassy reference; add ES counterpart
venezuelan-women-in-dallas,en,city,7,7,7,6,6,7,8,8,8,8,72,PARTIAL,REWRITE THEN INDEX,Thin content; city-swap pattern,Dallas sections structurally identical to Orlando/Atlanta — city-name substitution only; ES counterpart partial,Add Dallas Venezuelan community specifics (Addison; North Dallas Venezuelan restaurants); differentiate copy
venezuelan-women-in-orlando,en,city,7,7,7,6,6,7,8,8,7,8,71,PARTIAL,REWRITE THEN INDEX,Generic sections,Orlando sections generic; structurally same as Dallas/Atlanta; ES counterpart ✓,Add International Drive Venezuelan community; theme park worker diaspora angle; differentiate copy
venezuelan-women-in-chicago,en,city,7,7,7,6,6,7,7,8,7,8,70,PARTIAL,REWRITE THEN INDEX,No ES counterpart; generic; weaker diaspora,Smaller Venezuelan diaspora than Miami/NYC; sections are template-swapped; no ES counterpart,REWRITE with Chicago-specific community data; add ES counterpart /es/mujeres-venezolanas-en-chicago
venezuelan-women-in-atlanta,en,city,7,7,7,6,6,7,7,8,7,8,70,PARTIAL,REWRITE THEN INDEX,No ES counterpart; generic sections,Moderate diaspora; sections structurally identical to Dallas/Orlando; no ES counterpart,REWRITE with Atlanta/Buford Highway Venezuelan community reference; add ES counterpart
venezuelan-women-in-boston,en,city,7,7,7,5,6,6,7,7,7,9,68,PARTIAL,REWRITE THEN INDEX,Thin content; small community,Small Venezuelan community in Boston; sections are generic; section depth below average; no ES counterpart,REWRITE with Boston-specific community data OR merge with northeastern US hub if created
venezuelan-women-in-madrid,en,city-eu,8,7,8,7,7,7,8,7,8,7,74,PARTIAL,KEEP INDEX,No ES counterpart (HIGH priority gap),Spain is primary European market; Madrid page exists in EN but Spanish-speaking audience gets no ES version,Add /es/mujeres-venezolanas-en-madrid immediately — highest priority ES gap
venezuelan-women-in-barcelona,en,city-eu,7,7,7,6,7,7,8,7,7,9,72,PARTIAL,REWRITE THEN INDEX,No ES counterpart; smaller community,Smaller Venezuelan community vs Madrid; sections similar to Madrid pattern; no ES counterpart,REWRITE with Barcelona-specific Eixample/El Raval Venezuelan community angle; add ES counterpart
venezuelan-women-in-caracas,en,city-vzla,8,8,8,7,7,8,8,8,8,7,77,PARTIAL,KEEP INDEX,Weak diaspora framing,Largest Venezuelan city; justified as local dating market; ES counterpart ✓; content not differentiated from diaspora pages,Reframe as local dating page — Venezuelans dating within Caracas; differentiate from diaspora intent
venezuelan-women-in-maracaibo,en,city-vzla,8,7,8,7,7,7,8,7,8,8,75,PARTIAL,KEEP INDEX,2nd city; oil hub angle,2nd largest Venezuelan city; oil industry cultural angle present; ES counterpart ✓,Strengthen oil/petroleum industry cultural angle; add Maracaibo-specific dialect reference
venezuelan-women-in-santiago,en,city-latam,8,7,8,7,7,7,8,7,8,8,75,PARTIAL,KEEP INDEX,Significant diaspora,Significant Venezuelan diaspora in Santiago Chile; ES counterpart ✓; sections moderately specific,Add Barrio Brasil/Independencia Venezuelan community reference; strengthen with statistics
venezuelan-women-in-lima,en,city-latam,7,7,8,7,7,7,8,7,8,8,74,PARTIAL,KEEP INDEX,Significant diaspora,Significant Venezuelan diaspora in Lima Peru; ES counterpart ✓; copy is generic,Add San Isidro/Miraflores Venezuelan community reference; differentiate from Santiago pattern
venezuelan-women-in-bogota,en,city-latam,7,7,8,7,7,7,8,7,8,8,74,PARTIAL,KEEP INDEX,Significant diaspora,Significant Venezuelan diaspora in Bogotá Colombia; ES counterpart ✓; copy generic,Add Chapinero/Usaquén Venezuelan community reference; visa/crossing angle
venezuelan-women-in-merida,en,city-vzla,7,7,7,7,7,7,8,7,8,8,73,PARTIAL,KEEP INDEX,University city; unique angle,Universidad de Los Andes angle provides differentiation; ES counterpart ✓; student community,Strengthen university/intellectual community angle; add Andean mountain culture reference
venezuelan-women-in-valencia-venezuela,en,city-vzla,7,7,7,7,7,7,8,7,8,8,73,PARTIAL,KEEP INDEX,Industrial center; 3rd city,3rd largest Venezuelan city; industrial center angle; ES counterpart ✓; sections are generic,Add industrial/manufacturing community angle; distinguish from Valencia Spain clearly in title
venezuelan-women-in-panama-city,en,city-latam,7,7,7,7,7,7,8,7,7,8,72,PARTIAL,KEEP INDEX,Transit hub angle,Panama City as Venezuelan transit hub is genuine differentiator; ES counterpart ✓,Strengthen transit/expat hub angle; add Canal Zone Venezuelan professional community reference
venezuelan-women-in-barcelona-venezuela,en,city-vzla,7,7,7,6,7,7,8,7,7,8,71,PARTIAL,KEEP INDEX,4th city; borderline search volume,Barquisimeto is 4th Venezuelan city; Lara state culture angle possible; ES counterpart ✓,Add Lara state/Baragua culture reference; use barquisimetano community identity angle
venezuelan-women-in-barquisimeto,en,city-vzla,7,7,7,6,7,7,8,7,7,8,71,PARTIAL,KEEP INDEX,4th city; borderline search volume,Barquisimeto is 4th Venezuelan city; Lara state culture angle possible; ES counterpart partial,Add Lara state cultural identity angle; differentiate from template pattern
venezuelan-women-in-maracay,en,city-vzla,7,7,7,6,7,7,7,7,7,8,70,PARTIAL,KEEP INDEX,5th city — borderline,5th largest Venezuelan city; Aragua state; ES counterpart ✓; content generic; borderline search volume,Add Aragua state/Lake Valencia cultural reference; aviation/military city angle if authentic
venezuelan-women-in-buenos-aires,en,city-latam,7,7,7,6,6,7,8,7,8,7,70,PARTIAL,REWRITE THEN INDEX,No ES counterpart; smaller relative community,Venezuelan diaspora in BA exists but smaller than Santiago/Lima; no ES counterpart; copy generic,REWRITE with Palermo/Villa Crespo Venezuelan community data; add ES counterpart
venezuelan-women-in-ciudad-guayana,en,city-vzla,7,6,7,5,5,6,7,7,7,8,65,PARTIAL,REWRITE THEN INDEX,Industrial; weak intent; no ES,Ciudad Guayana is industrial mining city — weak romantic intent signal; content template-swapped; no ES counterpart,REWRITE with unique Orinoco/mining community angle OR merge into Venezuelan cities hub
venezuelan-women-in-maturin,en,city-vzla,6,6,7,4,5,6,7,7,7,7,62,FAIL,MERGE,Thin; doorway-page risk; no ES,Maturín is oil city with limited diaspora and weak dating intent; intro/body template-swapped from Barquisimeto; no ES counterpart,MERGE content into a Venezuelan cities hub page; redirect /venezuelan-women-in-maturin to hub
travel-to-meet-venezuelan-women,en,travel,8,8,8,8,7,8,8,8,8,6,79,PARTIAL,KEEP INDEX,No ES counterpart,Unique travel-intent layer not found on competitor sites; sections are specific to travel planning; no ES counterpart,Add /es/viajar-para-conocer-mujeres-venezolanas; add FAQ on visa requirements for visiting Venezuela
visit-venezuela-for-dating,en,travel,8,8,8,8,7,7,8,8,8,5,75,PARTIAL,KEEP INDEX,Safety/travel angle needed; no ES,Safety-of-travel angle is genuine differentiator; no ES counterpart; needs current travel safety context,Add travel safety FAQ section referencing official travel advisories; add ES counterpart
