IssueID,Title,Workstream,Severity,PriorityTier,Effort,Impact,SEOImpact,GEOImpact,BlockedBy,Enables,SourceFiles,AffectedRoutes,RecommendedAction,QAOwnerNotes
I001,Sitemap override — _redirects shadows public/sitemap.xml with Supabase edge function,A-Technical,Critical,P0,S,High,High,High,None,All landing page indexation; I002,public/_redirects,/sitemap.xml,Fetch https://matchvenezuelan.com/sitemap.xml — verify all 41 LP URLs are present. If missing: remove /sitemap.xml line from _redirects so static file is served OR fix the Supabase seo-feed edge function to include all 41 slugs,Fetch raw sitemap and verify slug count equals 41+. Submit updated sitemap to Google Search Console.
I002,SPA catch-all redirect missing — direct URL access to non-root paths may 404,A-Technical,Critical,P0,S,High,High,Low,I001 (verify crawlability context),I001; LP page crawlability,public/_redirects,All non-root routes (e.g. /meet-venezuelan-women),Add /* /index.html 200 as final line in public/_redirects,After deploy: curl -I https://matchvenezuelan.com/meet-venezuelan-women and verify 200 not 404.
I003,Homepage hero image 1.5 MB JPEG — catastrophic LCP failure,B-Performance,Critical,P0,S,High,High,Low,None,I015 (fetchPriority meaningful after compression),src/assets/hero-portrait.jpg (or equivalent),/ (homepage),Convert hero-portrait.jpg to WebP <100KB. Replace import in Home.tsx.,PageSpeed Insights mobile LCP must drop below 4s after fix. Target: <2.5s.
I004,Logo PNG 1.48 MB served on every page — kills LCP on all routes,B-Performance,Critical,P0,S,High,High,Low,None,I007 (OG image fix meaningful after compression); I015,src/assets/logo.png (or public/logo.png),All public pages,Convert logo to WebP or SVG <20KB. Update all references in PublicHeader and StructuredData.,Verify logo renders correctly in header and OG preview. PageSpeed Insights — LCP improvement on non-homepage routes.
I006,Relative canonical href=/ in index.html — invalid; breaks non-JS crawlers and social scrapers,A-Technical,High,P1,S,High,High,Low,I003+I004 (can be batched independently),I007 (same file — batch together),index.html,All pages (static HTML fallback),Change <link rel=canonical href=/> to <link rel=canonical href=https://matchvenezuelan.com/>,view-source:https://matchvenezuelan.com — verify absolute canonical in raw HTML.
I007,Relative OG image /logo.png in index.html — Facebook/Slack/WhatsApp get broken preview,A-Technical,Medium,P1,S,High,Medium,Low,I004 (compress logo first),None,index.html,All pages (static HTML OG fallback),Change <meta property=og:image content=/logo.png> to absolute URL https://matchvenezuelan.com/logo.png. Also create 1200x630px WebP OG image <200KB.,Facebook Sharing Debugger — verify OG image renders. After Sprint 2 OG image creation: re-verify.
I008,hreflang default fallback in seo.ts declares en+es+x-default at EN-only URLs — misinforms Google,A-Technical,High,P1,S,High,High,Low,None,I018 (/es/recursos route); I022 (ES counterpart pages),src/seo/seo.ts lines 193-198,All EN-only routes (HowItWorks; Legal; Resources; Safety),Remove 3-hreflang default. Replace with: [{hreflang:'en' href:url} {hreflang:'x-default' href:url}] for EN-only pages.,hreflang.org validator — verify no false ES signals on EN-only pages after fix. Must recheck all routes.
I009,Broken SearchAction in StructuredData.tsx — /search route does not exist in App.tsx,A-Technical,High,P1,S,Medium,Medium,Medium,None,None,src/components/StructuredData.tsx line 22,/ (homepage structured data),Change SearchAction target from ${SITE_URL}/search?q={search_term_string} to ${SITE_URL}/resources?q={search_term_string}.,Google Rich Results Test — verify no SearchAction errors after fix.
I010,Duplicate WebSite JSON-LD — both StructuredData.tsx and Home.tsx useSeo emit WebSite block,A-Technical,Medium,P1,S,Medium,Medium,Low,None,None,src/components/StructuredData.tsx; src/pages/Home.tsx,/ (homepage),Remove WebSite JSON-LD from StructuredData.tsx (keep static Organization only). Let Home.tsx useSeo be the canonical WebSite emitter.,Google Rich Results Test — verify single WebSite block on homepage after fix.
I011,Missing DatingService schema — Google cannot classify business type; zero rich-result eligibility,A-Technical,Medium,P1,M,High,Low,High,I012 (sameAs links needed for entity completeness); I013 (About page needed for URL),src/pages/Home.tsx; src/components/StructuredData.tsx,/ (homepage),Add DatingService JSON-LD to Home: serviceType: International Dating; areaServed; foundingDate; sameAs; url. Link to /about.,Google Rich Results Test — verify DatingService entity recognized.
I012,Organization sameAs: [] — no social entity links; Google cannot disambiguate business entity,A-Technical,Medium,P1,S,Low,Low,High,None,I011 (DatingService benefits from sameAs),src/components/StructuredData.tsx line 12,All pages (Organization emitted on every page),Add all live social profile URLs to sameAs array: Facebook; Instagram; Twitter/X; LinkedIn; TikTok (whatever exists).,Manually verify each social URL is reachable and points to correct profile.
I013,No /about page — YMYL site with zero company story; moderation team info; trust signals,E-Content,High,P1,M,High,Medium,High,None,I014 (expert author can link to About); I011 (DatingService can reference About URL),src/App.tsx,/about (new route needed),Create /about route in App.tsx. Create About.tsx page: company story; founding mission; moderation process; team bio (even pseudonymous Venezuelan cultural advisor).,Verify /about indexed in Google Search Console within 2 weeks of deploy.
I014,Anonymous blog authorship — all posts authored by Organization not named expert,E-Content,Medium,P1,M,Medium,Low,High,I013 (About page should exist before adding named author),None,src/pages/ResourceDetail.tsx line 166; Supabase blog_posts table,/resources/:slug,Create expert author persona (e.g. María Rodríguez — Venezuelan Cultural Advisor). Update ResourceDetail author logic. Update blog_posts DB or template to use named author.,Verify author name appears in BlogPosting JSON-LD via Rich Results Test after fix.
I015,Missing fetchPriority=high on homepage hero img — LCP image not prioritized by browser,B-Performance,High,P1,S,Medium,High,Low,I003 (compress image first — fetchPriority only helps if image is small),None,src/pages/Home.tsx line 73,/ (homepage),Add fetchPriority=high and loading=eager to homepage hero img tag. Also add <link rel=preload as=image> in index.html for the hero WebP.,PageSpeed Insights — verify LCP score improvement after both I003 and I015 applied together.
I016,Footer has zero links to landing pages — 90+ page-impressions wasting PageRank distribution,D-InternalLinking,Medium,P2,S,Medium,Medium,Low,None,None,src/components/layout/PublicFooter.tsx lines 18-33,All public pages (footer appears everywhere),Add 4-5 top landing pages to footer Product column: Meet Venezuelan Women; Venezuelan Dating Site; Venezuelan Women for Marriage; Dating Culture; Verified Profiles.,Crawl internal link report after deploy — verify landing pages show new footer link source.
I017,Static lang=en in index.html — all pages classified as English pre-JavaScript by crawlers,A-Technical,High,P2,S,High,High,Low,None,I018 (lang fix makes Spanish routes properly classified),index.html line 2,All pages,No static fix possible for CSR SPA. Add a note in meta: the runtime seo.ts sets documentElement.lang dynamically — this is acceptable for Googlebot but imperfect for pre-render. BETTER: set lang=es in _redirects or use prerendering for ES routes.,Verify hreflang + lang attribute consistency after Sprint 1 hreflang fix (I008).
I018,No /es/recursos route — Spanish blog index entirely missing,C-International,High,P2,M,High,High,Low,I008 (hreflang fix must be in place first),I022 (ES counterparts need a hub to link to),src/App.tsx; src/pages/Resources.tsx,/es/recursos (new route needed),Create /es/recursos route in App.tsx. Render Resources.tsx in ES mode with isEs=true. Add proper hreflang pair (/resources ↔ /es/recursos).,Verify /es/recursos returns 200 and displays Spanish blog index. Verify hreflang reciprocity between /resources and /es/recursos.
I019,FAQ; Safety; HowItWorks titles/descriptions not keyword-targeted — missing informational query traffic,A-Technical,Medium,P2,S,Medium,Medium,Low,None,None,src/pages/FAQ.tsx; src/pages/Safety.tsx; src/pages/HowItWorks.tsx,/faq; /safety; /how-it-works,Write explicit keyword-targeted title and description strings for each page. Do not rely on i18n keys for SEO meta. Examples: FAQ → Venezuelan Dating FAQ; Common Questions | MatchVenezuelan; Safety → How to Date Venezuelan Women Safely | MatchVenezuelan,Check each page title in Google Search Console after indexing.
I020,Safety page has ~150 words of prose — thin content on a YMYL page,E-Content,Medium,P2,M,Medium,Medium,Low,None,None,src/i18n/translations.ts; src/pages/Safety.tsx,/safety; /es/safety,Expand Safety page to 800+ words with dedicated sections: How Our Moderation Works; Romance Scam Red Flags (with specific patterns); What Happens After You Report; Verification Process Explained.,Run word count check after edit. Verify content depth vs competitors ranking for Venezuelan dating safety.
I021,HowItWorks page has ~200 words — thin content; H1 jumps to H3 without H2 wrapper,E-Content,Low,P2,M,Medium,Low,Low,None,None,src/i18n/translations.ts; src/pages/HowItWorks.tsx,/how-it-works; /es/how-it-works,Expand to 600+ words with substeps and cultural context. Add H2 section wrapper above H3 step cards to fix heading hierarchy gap.,Run word count check. Verify H2 wrapper in rendered DOM after edit.
I022,Missing ES counterparts for strategic markets — Madrid; dating-culture; travel pages,C-International,High,P2,M,High,High,Medium,I008 (hreflang fix must be in place first); I018 (/es/recursos for hub context),None,src/content/landingPages.ts; src/App.tsx,/es/mujeres-venezolanas-en-madrid; /es/cultura-de-citas-venezolanas; /es/viajar-para-conocer-mujeres-venezolanas (all new),Add ES content objects and routes for: Madrid (highest priority); dating-culture; travel-to-meet; visit-venezuela. After routes exist add correct hreflang pairs.,Verify each new ES route returns 200. Verify hreflang pairs are reciprocal using hreflang.org.
I022b,Missing ES counterparts for secondary markets — Barcelona; Buenos Aires; Chicago; Atlanta,C-International,Medium,P3,M,Medium,Medium,Low,I022 (primary ES routes first); LP rewrites (rewrite EN pages before adding ES versions),None,src/content/landingPages.ts; src/App.tsx,/es/mujeres-venezolanas-en-barcelona; /es/mujeres-venezolanas-en-buenos-aires; etc.,Add ES counterparts after EN rewrites are complete. Do not add ES versions of pages that still have thin English content.,Verify EN rewrite quality before creating ES counterparts.
I023,EN-only pages (Legal; HowItWorks) use 3-hreflang fallback — falsely signal ES versions at EN URLs,A-Technical,High,P1,S,High,High,Low,None,I008 (same fix — batch together),src/seo/seo.ts; src/pages/Legal.tsx; src/pages/HowItWorks.tsx,/aup; /anti-solicitation; /how-it-works,Batch with I008 fix. Ensure all EN-only pages that have no ES counterpart declare only [en; x-default] hreflang.,hreflang.org validator — specifically test /aup and /how-it-works URLs.
I024,Client-side blog pagination invisible to crawlers — page 2+ posts never discovered via index,A-Technical,Low,P3,M,Low,Medium,Low,None,None,src/pages/Resources.tsx line 120,/resources; /es/recursos,Add ?page=N URL parameter to Resources pagination. Alternatively ensure all post slugs remain in sitemap as blog grows.,Verify page 2 posts discoverable via sitemap after fix.
I025,Favicon and apple-touch-icon point to 1.48MB logo.png — massive browser tab download,A-Technical,Low,P3,S,Low,Low,Low,I004 (logo compression — at minimum compress before fixing icon too),None,index.html; public/,Create proper 32x32 favicon.ico and 192/512px PWA icons. Add site.webmanifest. Add <meta name=theme-color content=#8B1A4A>.,Verify favicon renders correctly in browser tab and mobile homescreen.
I026,RSS feeds /rss.xml and /rss-es.xml served via Supabase edge function — output unverified,A-Technical,Low,P3,S,Low,Low,Low,None,None,public/_redirects lines 4-5,/rss.xml; /rss-es.xml,Fetch both URLs and verify valid RSS 2.0 XML is returned. If not: fix edge function or create static RSS files.,Validate XML output with W3C Feed Validator.
I027,No Vite code splitting — 1.4MB single JS bundle delays TTI and INP on all pages,B-Performance,High,P2,M,High,High,Low,I003+I004 (image fixes deliver LCP improvement; code splitting delivers TTI/INP),None,vite.config.ts,Add rollupOptions.output.manualChunks: split vendor; supabase; react-router; markdown into separate chunks. Use dynamic import() for admin/app routes.,Lighthouse TTI and INP scores before/after. Target: <200ms INP; <3s TTI mobile.
I028,Landing pages have JSON-LD breadcrumbs only — no visible HTML breadcrumb nav for users or crawlers,D-InternalLinking,Low,P3,S,Low,Low,Low,None,None,src/components/landing/LandingPageTemplate.tsx,All /[slug] and /es/[slug] landing pages,Add visible HTML breadcrumb nav above H1: Home > [Category] > [Page]. This reinforces JSON-LD and provides clickable navigation.,Verify breadcrumb renders in DOM and JSON-LD BreadcrumbList remains consistent.
LP-F01,MERGE venezuelan-women-in-maturin — thin doorway-page risk with no ES counterpart,F-LandingPages,High,P2,S,Medium,Medium,Low,I001+I002 (crawl fixes first),None,src/content/landingPages.ts; src/App.tsx; public/_redirects,/venezuelan-women-in-maturin,Remove slug from landingPages.ts. Add 301 redirect in _redirects: /venezuelan-women-in-maturin → /meet-venezuelan-women or a new /venezuelan-cities hub. Update sitemap.,Verify 301 redirect returns correct Location header. Verify removed slug no longer appears in sitemap.
LP-F02,REWRITE venezuelan-women-in-ciudad-guayana — industrial city; weak intent; template-swapped content,F-LandingPages,Medium,P2,M,Medium,Medium,Low,None,None,src/content/landingPages.ts,/venezuelan-women-in-ciudad-guayana,Rewrite with Orinoco delta / Angostura cultural angle and local dating intent framing (not diaspora). Reach 800+ authentic words. Add ES counterpart only after EN passes review.,Review rewritten content against original — verify meaningfully differentiated from other VZ city pages.
LP-F03,REWRITE venezuelan-women-in-boston — thin content; small community; no authentic local data,F-LandingPages,Medium,P2,M,Medium,Low,Low,None,None,src/content/landingPages.ts,/venezuelan-women-in-boston,Rewrite with Cambridge/Greater Boston Venezuelan academic community angle (Harvard; MIT connections). If 800+ authentic words not achievable: escalate to MERGE into /venezuelan-women-in-united-states.,Word count must reach 800+ with authentic local specifics before staying indexed.
LP-F04,REWRITE venezuelan-women-in-chicago — template-swapped; no ES counterpart; smaller diaspora,F-LandingPages,Medium,P2,M,Medium,Medium,Low,None,I022b (create ES after EN rewrite complete),src/content/landingPages.ts,/venezuelan-women-in-chicago,Rewrite with Pilsen/Humboldt Park Venezuelan community angle. Differentiate tone from Sun Belt city pages (Chicago is colder; different Venezuelan migration pattern).,Content must differ meaningfully from Dallas/Atlanta/Orlando pages after rewrite.
LP-F05,REWRITE venezuelan-women-in-atlanta — template-swapped; no ES counterpart; Buford Highway unused,F-LandingPages,Medium,P2,M,Medium,Medium,Low,None,I022b (create ES after EN rewrite complete),src/content/landingPages.ts,/venezuelan-women-in-atlanta,Rewrite with Buford Highway Venezuelan restaurant district angle. Atlanta as Southeast hub for Venezuelan professionals. Buford Highway is nationally known — strong authentic differentiator.,Buford Highway angle must be explicitly referenced in H2 and body content.
LP-F06,REWRITE venezuelan-women-in-dallas — city-swap pattern; sections identical to Orlando/Atlanta,F-LandingPages,Medium,P2,M,Medium,Low,Low,None,None,src/content/landingPages.ts,/venezuelan-women-in-dallas,Rewrite with North Dallas/Addison Venezuelan community angle. Oil and gas industry connection to Venezuelan engineers is a genuine differentiator. 800+ words required.,Content must differ meaningfully from Atlanta and Orlando pages. Spot-check for shared paragraphs.
LP-F07,REWRITE venezuelan-women-in-orlando — generic sections; theme-park worker diaspora angle unused,F-LandingPages,Medium,P2,M,Medium,Low,Low,None,None,src/content/landingPages.ts,/venezuelan-women-in-orlando,Rewrite with Disney/theme-park worker diaspora angle. International Drive Venezuelan community is authentic. Tourism-corridor framing differentiates from other FL cities.,Verify sections are meaningfully different from Dallas/Atlanta pages. Remove shared boilerplate.
LP-F08,REWRITE venezuelan-women-in-washington-dc — diplomatic/political refugee angle completely unused,F-LandingPages,High,P2,M,High,High,Low,None,I022b (create ES after EN rewrite — HIGH priority for DC),src/content/landingPages.ts,/venezuelan-women-in-washington-dc,Rewrite leading with DC Venezuelan political diaspora — asylum seekers; political refugees; Venezuelan embassy staff. Human-rights angle no competitor can authentically replicate. 1000+ words.,This page has the highest differentiation potential of all REWRITE pages. Treat as a priority content asset.
LP-F09,REWRITE venezuelan-women-in-buenos-aires — no ES counterpart; copy generic; valid diaspora unused,F-LandingPages,Medium,P3,M,Medium,Low,Medium,None,I022b (create ES after rewrite),src/content/landingPages.ts,/venezuelan-women-in-buenos-aires,Rewrite with Palermo/Villa Crespo Venezuelan community angle. Buenos Aires as quality-of-life destination for Venezuelan professionals.,Create ES counterpart after EN rewrite quality passes review.
LP-F10,REWRITE venezuelan-women-in-barcelona — sections similar to Madrid; no ES counterpart; smaller community,F-LandingPages,Low,P3,M,Low,Low,Low,None,I022b,src/content/landingPages.ts,/venezuelan-women-in-barcelona,Rewrite with Catalan+Venezuelan cultural contrast angle. Barcelona as alternative to Madrid for Venezuelan creatives and professionals. Eixample reference.,Must differ clearly from Madrid page in angle and framing.
